word,number neighbors,label words
change,80,changes[MORPHO] changing[MORPHO] changed[MORPHO] alter[SYN] shift[SYN] Changing[MORPHO] Change[MORPHO] seismic_shift Changes[MORPHO] altering[COHYPO]
month,62,week[PARTOF] year[COHYPO] months[MORPHO] weeks[PARTOF] August[HYPO] February[HYPO] October[HYPO] January[HYPO] day[COHYPO] September[HYPO]
road,500,highway[HYPO] roads[MORPHO] raod roadway[HYPO] expressway[HYPO] highways[HYPO] motorway[HYPO] gravel_roads roadways[HYPO] freeway[HYPO]
take,36,taking[MORPHO] took[MORPHO] takes[MORPHO] taken[MORPHO] Taking[MORPHO] give[ANTO] Take[MORPHO] totake go[COHYPO] hold[SYN]
make,30,making[MORPHO] made[MORPHO] makes[MORPHO] Making[MORPHO] Make[MORPHO] tomake get[SYN] give[SYN] makea Makes[MORPHO]
get,291,getting[MORPHO] got[MORPHO] gets[MORPHO] gotten[MORPHO] Getting[MORPHO] go[SYN] come[SYN] give[COHYPO] bring[SYN] toget
enjoy,261,enjoying[MORPHO] enjoyed[MORPHO] Enjoy[MORPHO] savor[SYN] revel[SYN] Enjoying[MORPHO] appreciate enjoys[MORPHO] bask[SYN] dine_alfresco
start,26,begin[SYN] started[MORPHO] starting[MORPHO] starts[MORPHO] beginning[SYN] Start[MORPHO] finish[ANTO] began commence[SYN] resume[COHYPO]
name,113,names[MORPHO] surname[HYPO] moniker[HYPO] Trajche_Shoposki monikers[HYPO] nickname[HYPO] forename[HYPO] pseudonym[HYPO] monicker Name[MORPHO]
buy,94,sell[ANTO] purchase[SYN] buying[MORPHO] bought[MORPHO] buys[MORPHO] Buy[MORPHO] tobuy purchased Buying[MORPHO] acquire
show,93,shows[MORPHO] showing[MORPHO] Show[MORPHO] showed[MORPHO] shown[MORPHO] demonstrate[SYN] Shows[MORPHO] THE_SINGING_BEE PBS_Soundstage Jimmy_Kimmell
cut,62,cutting[MORPHO] slash[SYN] slashed[SYN] trimmed[SYN] Cut[MORPHO] trimming[COHYPO] trim[SYN] slashing cuts[MORPHO] lop
give,61,giving[MORPHO] gave[MORPHO] Give[MORPHO] gives[MORPHO] provide given[MORPHO] Giving[MORPHO] take[ANTO] get[COHYPO] togive
dog,500,dogs[MORPHO] puppy[HYPO] pit_bull pooch[HYPO] cat[COHYPO] golden_retriever[HYPO] German_shepherd[HYPO] Rottweiler[HYPO] beagle[HYPO] pup[COHYPO]
keep,46,kept[MORPHO] keeping[MORPHO] keeps[MORPHO] stay[COHYPO] Keeping[MORPHO] Keep[MORPHO] maintain[SYN] Kept[MORPHO] remain tokeep
stop,34,stopped[MORPHO] stopping[MORPHO] stops[MORPHO] Stop[MORPHO] halt[SYN] prevent Stopping[MORPHO] cease[SYN] dissuade deter
area,184,areas[MORPHO] outlying_areas region[SYN] vicinity[HYPO] neighborhoods[HYPO] neighborhood[HYPO] Area[MORPHO] metropolitan[COHYPO] mile_radius vicinities[HYPO]
break,15,breaks[MORPHO] breaking[MORPHO] broke[MORPHO] broken[MORPHO] Break[MORPHO] Breaking[MORPHO] breather[COHYPO] shatter crack[SYN] breaker[COHYPO]
close,12,closed[MORPHO] closing[MORPHO] closest[MORPHO] closer[MORPHO] toclose Close[MORPHO] open[ANTO] closes[MORPHO] between nearer
go,118,come[ANTO] goes[MORPHO] gone[MORPHO] going[MORPHO] get[SYN] went[MORPHO] do[COHYPO] sit stay[COHYPO] Going[MORPHO]
stand,10,stands[MORPHO] stood[MORPHO] standing[MORPHO] sit[ANTO] Stand[MORPHO] annie##_leave_lindsay lie[COHYPO] Stood[MORPHO] leave_swami_Nithyananda Standing[MORPHO]
sit,93,sitting[MORPHO] sat[MORPHO] Sit[MORPHO] plop Sitting[MORPHO] sits[MORPHO] flying_Thermos_bottle go stand[ANTO] stare
bring,78,bringing[MORPHO] brought[MORPHO] Bringing[MORPHO] come brings[MORPHO] add[SYN] get[SYN] put create brining
lose,66,losing[MORPHO] lost[MORPHO] loses[MORPHO] loosing Losing[MORPHO] squander regain looses Lose[MORPHO] suffer[SYN]
speak,65,speaking[MORPHO] spoke[MORPHO] speaks[MORPHO] spoken[MORPHO] talk[SYN] converse speak_candidly discuss testify Speak[MORPHO]
plan,63,plans[MORPHO] proposal[COHYPO] Plan[MORPHO] blueprint[HYPO] strategy[HYPO] proposals[COHYPO] planned[MORPHO] proposed planning[MORPHO] plan.The
hang,59,hanging[MORPHO] hung[MORPHO] hangs[MORPHO] Hanging[MORPHO] pull[COHYPO] hangin Hang[MORPHO] put[COHYPO] cling[SYN] knock[COHYPO]
catch,59,catching[MORPHO] caught[MORPHO] catches[MORPHO] Catching[MORPHO] nab Catch[MORPHO] snare[COHYPO] catchable grab[SYN] Poor_Linds
use,58,using[MORPHO] utilize[SYN] used[MORPHO] uses[COHYPO] Use[MORPHO] usage[SYN] Using[MORPHO] Utilize utilizing utilized
person,58,someone[SYN] persons[MORPHO] woman[HYPO] somebody[SYN] peson man[HYPO] people[COHYPO] anyone guy[HYPO] Someone[COHYPO]
begin,58,begins[MORPHO] commence[SYN] start[SYN] commences began[MORPHO] begun[MORPHO] resume beginning[MORPHO] recommence started
help,53,helping[MORPHO] helps[MORPHO] Help[MORPHO] tohelp assist[SYN] helped[MORPHO] Helping[MORPHO] enable try[COHYPO] needed
wear,500,wearing[MORPHO] wore[MORPHO] don[SYN] wears[MORPHO] worn[MORPHO] dress[COHYPO] Wearing[MORPHO] wear_pantyhose knit_beanies donning
song,500,songs[MORPHO] lyrics[PARTOF] lyric[PARTOF] ballad[HYPO] anthem[HYPO] tunes[COHYPO] album[COHYPO] ditty[HYPO] melody[COHYPO] haunting_ballad
friend,500,pal[HYPO] friends[MORPHO] buddy[HYPO] dear_friend acquaintance[SYN] cousin[COHYPO] girlfriend[HYPO] colleague[COHYPO] uncle[COHYPO] roommate[HYPO]
baby,500,newborn[HYPO] babies[MORPHO] infant[SYN] newborn_baby[HYPO] toddler[COHYPO] Asome_news child[SYN] triplets[COHYPO] Baby[MORPHO] Rebecca_Bresnik_meanwhile
rain,500,heavy_rain downpour[HYPO] rains[MORPHO] torrential_rain Rain[MORPHO] downpours[HYPO] rain_showers[HYPO] wet_weather rainfall[SYN] heavy_rains
fight,500,fighting[MORPHO] fights[MORPHO] battle[SYN] fought[MORPHO] Fight[MORPHO] fi_ght battles[COHYPO] Fighting[MORPHO] bout[COHYPO] fighing
drink,500,drinks[MORPHO] drinking[MORPHO] alcoholic_drink[COHYPO] alcoholic_drinks[COHYPO] Drink[MORPHO] drank[MORPHO] Drinking[MORPHO] beer[COHYPO] kool_aide drunk[MORPHO]
hate,500,despise Hate[MORPHO] detest[SYN] hatred[SYN] hating hates[MORPHO] HATE[MORPHO] dislike[COHYPO] love[ANTO] hated
computer,500,computers[MORPHO] laptop[HYPO] laptop_computer[HYPO] Computer[MORPHO] com_puter technician_Leonard_Luchko mainframes_minicomputers laptop_computers[HYPO] PC[HYPO] maker_Dell_DELL.O
laugh,500,chuckle[HYPO] laughing[MORPHO] giggle[HYPO] laughs[MORPHO] laughed[MORPHO] chuckling hearty_laugh chuckles[HYPO] joking funny[COHYPO]
fall,48,falling[MORPHO] falls[MORPHO] drop[SYN] tumble[SYN] rise[ANTO] plummet[COHYPO] fell[COHYPO] spring[COHYPO] Fall[MORPHO] sag[COHYPO]
spend,47,spent[MORPHO] spends[MORPHO] Spend[MORPHO] devote spending[MORPHO] expend[SYN] devoting splurge invest Spending[MORPHO]
street,454,streets[MORPHO] sidewalk[COHYPO] boulevard[HYPO] alley[HYPO] sidewalks[COHYPO] neighborhood[COHYPO] Streets[MORPHO] alleyway[HYPO] Street[MORPHO] pavement[COHYPO]
look,45,looks[MORPHO] looking[MORPHO] Look[MORPHO] looked[MORPHO] see[SYN] Looking[MORPHO] glance[COHYPO] peek[COHYPO] consider gander[COHYPO]
hard,43,harder[MORPHO] Hard[MORPHO] tough[SYN] difficult[SYN] hardest[MORPHO] frustrating easy[ANTO] good really virtually_impossible
idea,42,concept[HYPO] notion[HYPO] suggestion[HYPO] ideas[MORPHO] theory[COHYPO] thought[SYN] notions[HYPO] proposition[COHYPO] proposal[COHYPO] thing[COHYPO]
list,34,lists[MORPHO] List[MORPHO] Lists[MORPHO] wishlist blacklist[HYPO] watchlist alphabetical_listing listof listing[MORPHO] listed[MORPHO]
stay,33,staying[MORPHO] stayed[MORPHO] stays[MORPHO] keep[COHYPO] remain[SYN] Staying[MORPHO] Stay[MORPHO] leave[COHYPO] go[COHYPO] keeping[COHYPO]
test,323,tests[MORPHO] testing[MORPHO] tested[MORPHO] Testing[MORPHO] testings[MORPHO] Chlamydia_Rapid extramarital_affairs_flunk exam[SYN] pretests pretest
move,31,moves[MORPHO] moving[MORPHO] push[COHYPO] moved[MORPHO] step[HYPO] Moving[MORPHO] relocate go[SYN] switch[COHYPO] leap[COHYPO]
meet,29,meets[MORPHO] met[MORPHO] tomeet fulfill[SYN] satisfy[SYN] meeting[MORPHO] Meet[MORPHO] s_spinoff_Freescale discuss[COHYPO] meetthe
drive,29,drives[MORPHO] driving[MORPHO] drove[MORPHO] push[SYN] run[COHYPO] Seagate_SV##_Series driven[MORPHO] drives_SEDs Drives[MORPHO] ##GB_JetFlash_V##
listen,270,listening[MORPHO] listened[MORPHO] visit_www.timewarner.com_investors hear[SYN] Listen[MORPHO] subscribe_visit_http://www.bestdayaudio.com MIPS_Technologies_invites AOL_Keyword_IR listens[MORPHO] Listening[MORPHO]
wrong,265,dreadfully_wrong correct[ANTO] horribly_wrong Wrong[MORPHO] incorrect[SYN] right[ANTO] stupid[COHYPO] amiss[SYN] WRONG[MORPHO] disastrously_wrong
return,23,returning[MORPHO] returns[MORPHO] returned[MORPHO] rejoin[SYN] Return[MORPHO] leave[COHYPO] depart Returning[MORPHO] reclaim retun
cool,218,Cool[MORPHO] cooler[MORPHO] coolest[MORPHO] coolness[COHYPO] toasty warm[ANTO] hi_dev_ur hot cooled[MORPHO] cools[MORPHO]
hand,20,hands[MORPHO] Hand[MORPHO] finger[PARTOF] fingers[PARTOF] Hands[MORPHO] palm[PARTOF] arm[COHYPO] thumb[COHYPO] fingertips[COHYPO] ear[COHYPO]
pay,190,paying[MORPHO] paid[MORPHO] pays[MORPHO] topay reimburse Paying[MORPHO] payed[MORPHO] payment[COHYPO] repay Pay[MORPHO]
sign,19,signs[MORPHO] Signs[MORPHO] burlingtonfreepress.com_newsletters signing[MORPHO] visit_www.sheboyganpress.com_textalerts signed[MORPHO] Sign[MORPHO] At_www.QualityStocks.Net Visit_http://www.otcpicks.com/hotpicks.htm_today Signing[MORPHO]
word,168,phrase[SYN] words[MORPHO] verb[COHYPO] Word[MORPHO] adjective[HYPO] cuss_word colloquialism[COHYPO] noun[HYPO] astrology_#/##/## synonym[HYPO]
answer,164,answers[MORPHO] answered[MORPHO] answering[MORPHO] question[ANTO] anwer Answering[MORPHO] Biscardi_fielded please_call_#.###.WARRANTY Answer[MORPHO] questions[COHYPO]
face,15,faces[MORPHO] faced[MORPHO] facing[MORPHO] Facing[MORPHO] confront[SYN] Face[MORPHO] confronting Mother_Nature_Gino_Izzi Rutter_wrenched pose[COHYPO]
fear,127,fearful fears[MORPHO] Fear[MORPHO] fearing[MORPHO] worry[COHYPO] dread[HYPO] feared[MORPHO] anxiety[COHYPO] apprehension[HYPO] afraid
cry,122,crying[MORPHO] cries[MORPHO] weep[SYN] scream[HYPO] bawling[COHYPO] sob[COHYPO] cried[MORPHO] sisters_nieces_nephews bawl yell[SYN]
set,12,setting[MORPHO] sets[MORPHO] Setting[MORPHO] Set[MORPHO] broke Sets[MORPHO] Jilted_firefighter_set breaking[COHYPO] pushed put[SYN]
walk,112,walking[MORPHO] walks[MORPHO] walked[MORPHO] stroll[COHYPO] Walking[MORPHO] Walk[MORPHO] wander jog[COHYPO] saunter[HYPO] amble[COHYPO]
write,97,writing[MORPHO] read Write[MORPHO] written[MORPHO] handwrite publish[SYN] reread scribble Geno_Excellent compose[SYN]
expect,89,expecting[MORPHO] anticipate[SYN] Expect[MORPHO] foresee want expected[MORPHO] expects[MORPHO] intend predicted[COHYPO] anticipating[COHYPO]
find,78,discover[SYN] finding[MORPHO] Finding[MORPHO] found[MORPHO] tofind fi_nd locate uncover see[SYN] stumble_upon
watch,74,watching[MORPHO] watched[MORPHO] Watching[MORPHO] watches[MORPHO] see[SYN] watchin I'ma_Trekkie Today_GoldmanResearchGroup.com_announces TiVo'd glued
strong,68,solid[SYN] stong robust stronger[MORPHO] weak[ANTO] Strong[MORPHO] strongest[MORPHO] good strength astrong
cause,67,causes[MORPHO] caused[MORPHO] causing[MORPHO] contributing_factor Cause[MORPHO] casued Causing[MORPHO] casue culprit[COHYPO] contributory_factor
quickly,66,swiftly easily rapidly[SYN] soon promptly[SYN] Quickly[MORPHO] speedily[SYN] slowly[ANTO] eventually instantly
completely,60,totally[SYN] entirely[SYN] Completely[MORPHO] utterly wholly[SYN] completly Totally altogether[SYN] essentially basically
continue,60,continues[MORPHO] continued[MORPHO] continuing[MORPHO] contine tocontinue remain[SYN] Continue[MORPHO] intensify con_tinue persist
pick,57,picks[MORPHO] picking[MORPHO] picked[MORPHO] Pick[MORPHO] Picking[MORPHO] draft_pick firstround_draft Sebastian_Telfair_Theo_Ratliff select draft[COHYPO]
deep,57,deeper[MORPHO] deepest[MORPHO] depths[COHYPO] shallow[ANTO] gravelly_voice_fills Deep[MORPHO] depth[COHYPO] deepening[COHYPO] Deeper[MORPHO] water_newbuilding_drillships
check,57,checking[MORPHO] checks[MORPHO] checked[MORPHO] Checking[MORPHO] recheck doublecheck Check[MORPHO] VGGEN_often Charge_Issuing_worthless ABCActionNews.com
come,54,coming[MORPHO] go[ANTO] bring came[MORPHO] get[SYN] brought gone happen put[COHYPO] comes[MORPHO]
save,53,saved[MORPHO] saving[MORPHO] saves[MORPHO] saver[COHYPO] Saving[MORPHO] conserve[COHYPO] preserve[SYN] owl_kingdoms Reading_Euromoney avert
die,52,perish[SYN] dying[MORPHO] dies[COHYPO] die_prematurely oil_Cvitanovich died[MORPHO] kill[COHYPO] Die[MORPHO] dieing[MORPHO] starve
car,500,vehicle[COHYPO] cars[MORPHO] SUV[HYPO] minivan[HYPO] truck[COHYPO] Car[MORPHO] Ford_Focus Honda_Civic Jeep[HYPO] pickup_truck[COHYPO]
walked,500,strode[HYPO] strolled[HYPO] walk[SYN] walking sauntered[HYPO] wandered[COHYPO] ambled[HYPO] jogged walks exited
store,500,stores[MORPHO] Store[MORPHO] shop[SYN] superstore grocery_store[COHYPO] mall[COHYPO] supermarket[COHYPO] retailer[COHYPO] drugstore[HYPO] convenience_store[HYPO]
sex,500,sexual oral_sex[HYPO] sexual_intercourse[HYPO] intercourse[COHYPO] anal_sex[HYPO] sexual_encounters Chastity_Bono_announces prostitution[COHYPO] Sex[MORPHO] masturbation[HYPO]
love,500,loved[MORPHO] adore loves[MORPHO] passion[SYN] hate[ANTO] loving[MORPHO] Ilove affection[COHYPO] undying_love absolutely_adore
let,500,letting[MORPHO] Let[MORPHO] do want lets[MORPHO] E_mail_heyjen@phillynews.com allow[SYN] try dare Letting[MORPHO]
tell,500,know telling[MORPHO] tells[MORPHO] ask Tell[MORPHO] say[SYN] Telling[MORPHO] see remind explain
eat,500,eating[MORPHO] ate[MORPHO] eaten[MORPHO] eats[MORPHO] munch eat_healthfully eat_fatty_foods consume[HYPO] Nutritionists_recommend overeaten
damn,500,darn[SYN] goddamn[SYN] freakin fucking[COHYPO] dang darned[SYN] damned[MORPHO] friggin shit[SYN] dammit
music,500,classical_music[HYPO] jazz[COHYPO] Music[MORPHO] Without_Donny_Kirshner songs[HYPO] musicians[COHYPO] tunes[HYPO] musical[COHYPO] Logue_typed musics[MORPHO]
child,500,children[MORPHO] infant[COHYPO] chid toddler[HYPO] baby[SYN] newborn[COHYPO] chld Child[MORPHO] preschooler[HYPO] child_ren
bus,500,buses[MORPHO] Bus[MORPHO] busses[MORPHO] minibus[HYPO] Buses[MORPHO] schoolbus trolley[COHYPO] van[COHYPO] Greyhound_bus taxi[COHYPO]
ask,500,asking[MORPHO] asked[MORPHO] asks[MORPHO] tell Ask[MORPHO] know questons SCHIEFFER_Let Asking[MORPHO] e_mail_webeditor@sfnewmexican.com
party,500,Party[MORPHO] parties[MORPHO] partys[MORPHO] Democratic_Party[HYPO] LOUDON_NH_Brad_Keselowski caucus[COHYPO] pary faction[COHYPO] mad_hatter_tea Labour_Party[HYPO]
mine,500,Mine[MORPHO] mines[MORPHO] coal_mine[HYPO] mining[MORPHO] miner[COHYPO] coalmine coal_mines[HYPO] Nobody'll_buy miners[COHYPO] coal_mining
remember,454,forget[ANTO] remembering[MORPHO] remembered[MORPHO] vividly_remember know recollect[SYN] remembers[MORPHO] remind tell reminded
house,442,houses[MORPHO] bungalow[HYPO] apartment[COHYPO] bedroom[COHYPO] townhouse residence[COHYPO] mansion[SYN] farmhouse[HYPO] duplex[HYPO] appartment
turn,42,turning[MORPHO] turned[MORPHO] turns[MORPHO] Turning[MORPHO] pull[COHYPO] Turn[MORPHO] morph yank[COHYPO] move[COHYPO] transform
understand,416,comprehend[HYPO] explain know realize[SYN] understood[MORPHO] understands[MORPHO] understanding[MORPHO] recognize appreciate un_derstand
