word,number neighbors,closer words
like,500,really weird crazy kind maybe loooove anymore Kinda_reminds definitely kinda_fishy
one,55,only two three five four One another most seven six
get,291,getting got gets gotten Getting go come give bring toget
know,500,tell think do understand guess tomorrow_Camardelle knew don'tknow say Nobody_cares
time,21,day moment days period periods when times weeks hours months
really,500,obviously definitely think pretty Really kinda just kind everybody so
would,106,could might will should did 'd Would may wanted Should
go,118,come goes gone going get went do sit stay Going
think,500,know guess suppose really thought obviously maybe probably believe definitely
got,500,get gotten getting gets came gave gotto gotta went had
well,28,as poorly nicely excellently decently good reasonably far much such
good,500,great bad terrific decent nice excellent fantastic better solid lousy
people,277,peole poeple individuals folks peple peo_ple peope citizens Americans People
going,500,gonna coming 'll goingto want do go gotta really ROGER_FEDERER_Yeah
back,37,out down off then again into away Back backto onto
day,58,week days morning month hours afternoon hour weekend evening time
see,180,seeing look know think tell find watch expect imagine realize
much,58,little far lot Much even actually than bit what considerably
could,110,would might may can should will conceivably did Could possibly
today,70,tomorrow yesterday Thursday Wednesday Monday Tuesday Friday Today Wednesay tommorrow
want,500,do wanted need can wanting prefer wanna wants wantto going
love,500,loved adore loves passion hate loving Ilove affection undying_love absolutely_adore
went,137,came ran gone drove walked took flew stayed go proceeded
even,314,though actually if anyway perhaps so Even probably but maybe
last,67,earlier Last ago previous first after next past this later
way,43,ways how thing things path everything going someway it manner
still,70,now though remains remain stil but although yet nonetheless currently
say,156,believe argue know tell insist think speculate presume suggest remain_unconvinced
things,500,thing stuff something Things everything really thigns ways think what
new,25,revamped thenew newest newly revamps newer brand_spanking existing long_awaited groundbreaking
work,33,working works worked Work towork job Working labors roofers_painters dry_walling
something,500,anything nothing Something what things really thing somebody it everything
life,52,lives chiseled_burnished_refined Interaction_enriches_your Shanda_Interaction_enriches Life Fayaz_Wani_reports lifestyle joys_sorrows humdrum_existence earthly_existence
right,152,Right wrong ##.Help_us Goodwill_Catanese left fielder_Joe_Borchard NOTE_Xactly_Incent fielder_Ambiorix_Concepcion now fielder_Jeromy_Burnitz
make,30,making made makes Making Make tomake get give makea Makes
first,63,second third fourth fifth sixth seventh thefirst last eighth final
us,238,me them ourselves we our everybody really him you somebody
little,278,bit much wee_bit litte everything'sa lot maybe tad litle smidgen
night,219,evening afternoon nights Saturday morning tonight Sunday weekend Friday wee_hours
thing,500,things something stuff really think Really sounds_trite aspect reason kind
said,252,says explained siad noted stressed told added adding remarked acknowledged
never,349,not nobody rarely seldom anything once always Never 've none
also,26,additionally meanwhile however already that initially likewise previously added which
feel,457,feeling felt feels think know really Feeling Cinder_fella sense feeing
around,28,across Around aound aroudn aroud over throughout down upwards out
home,40,house Superfast_WiFi homes Home residence bedroom apartment Casa_Del_Lago lakehouse lakefront_cottage
need,172,needed want needs must needing can should do needto necessary
take,36,taking took takes taken Taking give Take totake go hold
ca,500,wo #_xfffd adobe_photoshop os microsoft quickbooks windows_xp photoshop nt ce
two,101,three four five six seven eight nine several Two couple
oh,500,Oh hey uh Uh Ahh gawd ohhh Ah Ugh Gawd
come,54,coming go bring came get brought gone happen put comes
great,254,terrific fantastic tremendous wonderful good incredible marvelous phenomenal amazing awesome
made,10,making make Making makes Make Makes came mde Made madea
though,118,although but however even nonetheless nevertheless if still anyway only
school,500,elementary schools shool elementary_schools kindergarten eighth_grade School teacher students classroom
long,22,short Long longer MSIM_strives lengthy longest shorter commercialize_duloxetine_hydrochloride Pattern_Trapper_ADVANCED_Short LONG
always,500,definitely really obviously certainly never everybody whenever something sometimes everyone
better,199,stronger quicker smarter worse good happier nicer easier harder faster
ever,72,EVER never arguably imagined 've even NY1_Gear_Shop Ever anything since
let,500,letting Let do want lets E_mail_heyjen@phillynews.com allow try dare Letting
since,45,Since Ever #### sincethe since#### been has inception last SINCE
next,39,Next last sometime later tomorrow final thenext 'll upcoming will
fun,500,enjoyable funner_Halladay Fun funny entertaining funnest funner Good_luck_godspeed earlier_Delonas_cartoon drive_Aerio_sedan
maybe,500,probably Maybe yeah suppose hey guess think Chiddy_Bang_maybe just 'd
another,30,Another this one anther an aa next every the possibly
na,500,ni si nga sa Wala_silang ay ka na_nga rito ka_na
friends,500,acquaintances friend buddies pals relatives girlfriends family grandparents_aunts_uncles_cousins freinds acquaintences
thought,500,knew think figured felt guess probably believed thinking maybe looked
im,500,Im i lol hes haha i_dont i_wouldnt i_cant lyk thats
look,45,looks looking Look looked see Looking glance peek consider gander
many,93,several numerous some countless dozens few multitude handful myriad those
week,73,month weekend weeks year day summer fortnight days morning week.The
bad,211,good terrible horrible Bad lousy crummy horrid awful dreadful horrendous
actually,500,anyway even really just probably so it maybe if suppose
year,53,month week months decade years summer year.The September weeks season
pretty,500,pretty_darn very awfully quite fairly pretty_darned unbelievably really incredibly Pretty
find,78,discover finding Finding found tofind fi_nd locate uncover see stumble_upon
someone,483,somebody anyone Someone somebody_else somone anybody person Anybody Somebody guy
lot,403,lots plenty lotof alot some little really definitely much lotta
sure,385,know glad aware think necessary_Blawn guess okay Ziad_Munson Buster_Posey_Whiteside happy
